code,beta,se,pval,abs_40_M,abs_40_F,abs_50_M,abs_50_F,abs_60_M,abs_60_F,abs_40_MD,abs_40_FD,abs_50_MD,abs_50_FD,abs_60_MD,abs_60_FD,abs_40_MU,abs_40_FU,abs_50_MU,abs_50_FU,abs_60_MU,abs_60_FU,RR
A04,2.11379069024289,0.117516244276801,<2e-16,9% [7%-10.9%],5.1% [4%-6.3%],20.1% [15.8%-24.1%],11.8% [9.2%-14.3%],41.4% [33.7%-48.3%],25.9% [20.5%-30.9%],0.0695982789490641,0.0395632247921808,0.158482611631188,0.0920227649477724,0.336977577953643,0.205363724382806,0.109486787191445,0.062854210814058,0.241243908760564,0.143219222520404,0.482659678075116,0.308604648423462,8.28 [6.58-10.42]
A08,1.98944706244652,0.132910286388288,<2e-16,8% [5.9%-10%],4.6% [3.4%-5.7%],18% [13.6%-22.1%],10.5% [7.9%-13.1%],37.7% [29.5%-44.9%],23.3% [17.7%-28.4%],0.0594382209748571,0.0337247891787501,0.136317108404016,0.0787574363272595,0.294674096032857,0.17747371044687,0.0996871988096888,0.0571325502991922,0.221219363669956,0.130712940784919,0.449357373769038,0.284181402250513,7.31 [5.63-9.49]
A09,2.17119409164709,0.0688896242015241,<2e-16,9.5% [8.2%-10.7%],5.4% [4.7%-6.1%],21.1% [18.5%-23.6%],12.4% [10.8%-13.9%],43.1% [38.5%-47.4%],27% [23.7%-30.1%],0.0819258630231833,0.0465052887962332,0.184917477325819,0.107636352805698,0.384887416978188,0.237068939505543,0.107072215009647,0.0611471276944737,0.235885514740291,0.139227093727143,0.473898395473273,0.300912842166207,8.77 [7.66-10.04]
A40,3.43629303581176,0.229704094718547,<2e-16,29.8% [17.6%-40.1%],18% [10.3%-25%],57% [37.1%-70.6%],37.7% [22.9%-49.6%],86.7% [66.9%-94.6%],67.7% [46.2%-80.6%],0.176231799353961,0.10287083392552,0.371162271230549,0.228729728987878,0.669300623488952,0.461757481029713,0.401320147552139,0.249824287822388,0.706072570389152,0.496450933936875,0.946372863725824,0.805908134360076,31.07 [19.81-48.74]
A41,3.93618384617285,0.0398687592883035,<2e-16,43.4% [40.6%-46.1%],27.6% [25.5%-29.6%],73.5% [70.5%-76.1%],52.9% [49.9%-55.7%],95.4% [94.1%-96.5%],82.7% [79.9%-85%],0.406106742790364,0.255361587204253,0.705433671378033,0.499018404691162,0.941446762147022,0.798937678171676,0.461319737976186,0.296364241110311,0.76105535289492,0.556850242564151,0.964616729452979,0.850482530946126,51.22 [47.37-55.39]
A49,3.0011140113389,0.189326764408893,<2e-16,20.4% [13.4%-26.9%],12% [7.7%-16.2%],42.1% [29%-52.7%],26.4% [17.5%-34.3%],72.8% [55.9%-83.2%],51.8% [36.8%-63.3%],0.13364458775647,0.0772395389105411,0.290478714857304,0.174907330286517,0.558767350716231,0.367659044887658,0.26939685100413,0.161557211508762,0.526775444678117,0.342982856914797,0.832383513300197,0.633149200485099,20.11 [13.87-29.14]
B02,2.12413240468695,0.218497105984923,<2e-16,9.1% [5.3%-12.7%],5.2% [3%-7.3%],20.3% [12.2%-27.7%],12% [7%-16.6%],41.9% [26.6%-53.9%],26.2% [15.9%-35.2%],0.052840396350711,0.0299467842295583,0.121803969831836,0.0701516778457717,0.266395910445967,0.159242309536668,0.127270636404072,0.0734430458065716,0.277214777560405,0.166333958606169,0.539378762303584,0.352356858607858,8.37 [5.45-12.84]
B34,1.67173324724461,0.169348547368399,<2e-16,5.9% [4%-7.7%],3.3% [2.2%-4.4%],13.5% [9.2%-17.5%],7.8% [5.3%-10.2%],29.2% [20.6%-36.9%],17.6% [12.1%-22.7%],0.0395062025469938,0.0223179097967366,0.0919688128290904,0.0525819884545765,0.205562746056525,0.120867930768574,0.0774522169205147,0.0441561187539655,0.175074015141971,0.102214454455328,0.368889310431931,0.227313130724304,5.32 [3.82-7.42]
B37,2.60163560889101,0.14185049910482,<2e-16,14.2% [10.5%-17.8%],8.2% [6%-10.4%],30.6% [23.2%-37.4%],18.5% [13.7%-23%],58.2% [46.7%-67.2%],38.6% [29.7%-46.5%],0.104501021672121,0.0599151398329901,0.231991865707531,0.137337571752424,0.466789203203492,0.296645479366621,0.17830695080658,0.104148065688366,0.373531902553669,0.230426774730593,0.672418399689054,0.464792936667353,13.49 [10.21-17.81]
B44,2.88499139702288,0.301694730826807,<2e-16,18.4% [8%-27.7%],10.8% [4.5%-16.6%],38.5% [18%-53.9%],23.9% [10.5%-35.2%],68.7% [37.8%-84.3%],47.9% [23.3%-64.6%],0.0797268131986282,0.045465034096399,0.180281506496514,0.105346004624945,0.377581635312927,0.233153073504534,0.276929750905089,0.166171049824614,0.539001346549081,0.352093857281242,0.842889441720626,0.645613043005163,17.9 [9.91-32.34]
