code,prevelence,h2_observed,h2_observed_se,h2_liability,h2_liability_se,h2_z,h2_p
D13,0.00153322,0.003212447,0.002023409,0.198442557,0.12499206,1.5876413,0.056183737
D14,0.000450772,0.002170025,0.002458412,0.375101692,0.42495109,0.8826938,0.188700866
D16,0.000480428,0.002452773,0.002345826,0.401536117,0.384028206,1.045590169,0.147875145
D17,0.0102017,0.001494793,0.002050568,0.020521152,0.028151065,0.728965382,0.233011419
D18,0.00191875,0.001872078,0.002177878,0.096165947,0.111874403,0.859588469,0.195007967
D21,0.000794783,0.000390545,0.002214042,0.041730077,0.236572305,0.176394601,0.429991973
D22,0.00769872,0.003699261,0.002194138,0.062928139,0.037324489,1.685974569,0.045900349
D23,0.00704332,0.000773329,0.002175068,0.014088172,0.03962445,0.355542391,0.361091647
D24,0.00253263,5.58e-05,0.002165025,0.00228633,0.088700627,0.025775809,0.489718078
D25,0.0129034,0.008073803,0.002313024,0.09296,0.026631657,3.490582672,0.000240984
D26,0.000346976,-0.002482451,0.002119137,-0.536945672,0.458362141,-1.171444201,0.879289863
D27,0.00177936,0.000642434,0.002112725,0.035106543,0.115452315,0.304078298,0.38053412
D28,0.000299526,0.002251591,0.002294318,0.552705428,0.563193703,0.981377143,0.163203397
D30,0.000180902,0.001914668,0.00242528,0.727407985,0.921396254,0.789462711,0.214920808
D32,0.00070878,-0.000803197,0.00227121,-0.094524286,0.267287551,-0.353642679,0.638196657
D33,0.000563465,-0.002191932,0.002146524,-0.313297978,0.306807732,-1.021154114,0.846409286
D34,0.000403323,-0.001139335,0.00192141,-0.216593866,0.36527071,-0.592968064,0.723398737
D35,0.00099941,-0.001657983,0.002003703,-0.146167441,0.176646015,-0.827459602,0.796011695
D36,0.001121,-0.001080976,0.002081705,-0.08658538,0.166743028,-0.519274366,0.698215287
D37,0.00132859,0.002201549,0.002291347,0.153109245,0.159354319,0.960810136,0.168323821
D38,0.000183868,0.00141523,0.002295392,0.530110426,0.859797465,0.616552674,0.268764909
D39,0.000302492,-0.003345402,0.001910092,-0.814264117,0.464912439,-1.75143543,0.960064533
D41,0.00101127,0.000223931,0.002054092,0.019547814,0.17930989,0.109016932,0.45659453
D44,0.000240214,-0.002839156,0.002045792,-0.843282211,0.607638228,-1.38780309,0.917401493
D45,0.000539741,0.003860224,0.002798908,0.572299073,0.414953214,1.379189397,0.083918183
D46,0.00026987,4.8e-05,0.002368387,0.012900799,0.63609489,0.020281249,0.491909507
D47,0.000376632,0.001486129,0.002122628,0.299593832,0.427907898,0.700136252,0.241921109
D48,0.00123073,0.001705179,0.00219747,0.126367238,0.162849864,0.775973861,0.21888221
D50,0.00526395,-0.001257287,0.002389328,-0.028731561,0.054601,-0.52620942,0.700628645
D61,0.000189799,-0.003045367,0.002212241,-1.109649493,0.806081017,-1.376597971,0.915681711
D64,0.00701959,-0.000254979,0.002021203,-0.004657208,0.036917464,-0.126151902,0.550194158
D68,0.000228352,-0.003740324,0.002176112,-1.160758824,0.675326938,-1.718810191,0.95717553
D69,0.000788852,0.001737057,0.00230591,0.186780474,0.247947522,0.753306474,0.225632885
D70,0.00184164,0.000213141,0.002202495,0.011323078,0.117007145,0.096772537,0.461453517
D75,0.000536775,0.001502526,0.002354587,0.223803964,0.350719878,0.6381274,0.261695376
D86,0.000341045,0.000546494,0.002188782,0.119969086,0.480492537,0.249679395,0.401417647
D89,0.000260973,-0.002979718,0.002223869,-0.8238011,0.614832021,-1.339879954,0.909857812
E03,0.000263939,0.005320061,0.002116169,1.456542505,0.579371095,2.514006167,0.005968417
E04,0.00220938,0.005762579,0.002135882,0.2637998,0.097776566,2.697985944,0.003488019
E05,0.000886717,-0.000354311,0.00209639,-0.034530047,0.204307689,-0.169010024,0.567105622
E07,0.000207593,0.000809847,0.002119694,0.272983348,0.714506494,0.382058596,0.351208951
E10,0.00127818,0.00428318,0.002178434,0.30759621,0.15644408,1.966173536,0.024639284
E11,0.00164591,0.002634195,0.002657338,0.153479861,0.154828284,0.991290848,0.16077179
E14,0.000616846,-0.000415231,0.002544175,-0.054961916,0.33675883,-0.163208538,0.564822878
E16,0.000676159,0.001846576,0.00240819,0.226142498,0.294921136,0.766789728,0.221603272
E21,0.00051305,0.000818959,0.002072556,0.126769834,0.320818909,0.395144523,0.346368116
E22,0.000240214,-0.00188205,0.002408066,-0.559003901,0.715240423,-0.781560833,0.782763644
E23,0.000332148,0.00191196,0.002125319,0.429370431,0.477284671,0.89961077,0.184163712
E27,0.000344011,-0.001054844,0.002205442,-0.229848044,0.480560853,-0.478291235,0.683778533
E66,0.000643537,0.003256388,0.002450764,0.415836914,0.312959668,1.328723656,0.091969579
E83,0.00115659,-0.002790648,0.002148487,-0.217782572,0.167668228,-1.298889924,0.903009146
E86,0.000346976,0.000568708,0.002807053,0.123009684,0.607156086,0.202599771,0.419723935
